side,tier,horizon,threshold,refuse_pct,n_refused,mean_realized_survivors_bps,mean_realized_refused_bps,port_ret_per_slot_bps
long,T1,5,0.25,0.0503,86,117.4,297.6,118.1
long,T1,5,0.50,0.0158,27,126.3,556.1,124.3
long,T1,5,0.75,0.0058,10,130.1,698.4,128.9
long,T1,5,1.00,0.0029,5,132.0,913.5,131.3
long,T1,5,1.25,0.0012,2,132.9,1105.0,131.7
long,T1,5,no-gate,0.0000,0,133.1,,133.1
long,T2,5,0.25,0.0794,19020,28.7,55.4,26.5
long,T2,5,0.50,0.0297,7117,29.2,87.6,28.3
long,T2,5,0.75,0.0119,2851,30.2,118.9,29.5
long,T2,5,1.00,0.0052,1246,30.5,163.4,30.2
long,T2,5,1.25,0.0022,527,30.7,205.1,30.5
long,T2,5,no-gate,0.0000,0,30.9,,30.9
long,T1,10,0.25,0.0503,,,,238.4
long,T1,10,0.50,0.0158,,,,250.4
long,T1,10,0.75,0.0058,,,,256.1
long,T1,10,1.00,0.0029,,,,260.0
long,T1,10,1.25,0.0012,,,,261.1
long,T1,10,no-gate,0.0000,,,,263.5
long,T2,10,0.25,0.0794,,,,64.3
long,T2,10,0.50,0.0297,,,,65.9
long,T2,10,0.75,0.0119,,,,67.2
long,T2,10,1.00,0.0052,,,,68.0
long,T2,10,1.25,0.0022,,,,68.4
long,T2,10,no-gate,0.0000,,,,69.4
